"Vehicle.Use","Anti.Theft.Device.Indicator","Body.Style","Electric_Vehicle_Indicator","Fleet.Vehicle.Indicator","Fuel.Type","Hybrid.Vehicle.Indicator","Make","Model","Model.Year","Municipality","Owner.Type","Region","Vehicle.Count"
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","VOLKSWAGEN","JETTA 1.4T 4DR",2019,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","VOLKSWAGEN","GTI PERFORMANCE 2.0 TSI 4DR HATCHBACK",2022,"Langford","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","SANTA FE ULTIMATE CALLIGRAP 2.5T 4DR AWD",2022,"Osoyoos","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK TOURING 5DR AWD",2021,"Pemberton","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","VOLVO","XC40 RECHARGE CORE 4DR AWD",2022,"Oak Bay","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","DODGE/RAM","DURANGO R/T 4DR AWD",2020,"Kamloops","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SPORTAGE LX 4DR AWD",2024,"Burnaby","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","TOYOTA","CAMRY SE 4DR",2021,"Unknown","Person","Unknown",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","RAV4 XLE 4DR AWD",2022,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","PILOT BLACK EDITION 4DR AWD",2019,"Port Moody","Person","Lower Mainland",1
"Personal","Yes","Fourdoorcoupe","No","No","Gasoline","No","BMW","430I XDRIVE GRAN COUPE 4DR AWD",2019,"Port Moody","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","HYUNDAI","IONIQ PREFERRED HYBRID 4DR HATCHBACK",2020,"Coquitlam","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","ACADIA DENALI 4DR AWD",2019,"Cranbrook","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK 5DR AWD",2024,"Lister","Person","Southern Interior",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","MERCEDES-BENZ","GLA250 4DR AWD",2019,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","RAV4 PRIME XSE 4DR AWD",2021,"Pender Island","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE S SPECIAL EDITION 4DR AWD",2020,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","JAGUAR","F-TYPE 2DR COUPE AWD",2019,"Burnaby","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","TESLA","MODEL Y 75D PERFORMANCE 4DR AWD",2023,"Nanoose Bay","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","LEXUS","RX350 4DR AWD",2019,"Lumby","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","AUDI","Q5 KOMFORT 45 2.0 TFSI 4DR AWD",2023,"Burnaby","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MITSUBISHI","ECLIPSE CROSS GT 4DR AWD",2020,"Nanaimo","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE TRAILHAWK 4DR 4WD",2021,"North Westside","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MASERATI","LEVANTE TROFEO V8 4DR AWD",2021,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","SUBARU","WRX STI SPORT 4DR AWD",2020,"New Westminster","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","CR-V EX-L 4DR AWD",2020,"Pender Island","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","ACURA","MDX TECH 4DR AWD",2020,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Hatchback","Yes","No","Electric","No","SMART","EQ FORTWO 2DR COUPE",2019,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","Yes","No","Electric","No","NISSAN","LEAF SV 5DR",2023,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-9 GS-L 4DR 4WD",2021,"Port Alberni","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","FORD","ESCAPE SEL HYBRID 4DR 2WD",2022,"Whistler","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","HONDA","CR-V TOURING HYBRID 4DR AWD",2024,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","BUICK","ENVISION TURBO 4DR AWD",2019,"Sooke","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE LIMITED 4DR 4WD",2019,"Coldstream","Person","Southern Interior",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","LEXUS","UX200 4DR 2WD",2019,"West Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","TESLA","MODEL Y 75D PERFORMANCE 4DR AWD",2023,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","PRIUS PRIME 5DR",2022,"Esquimalt","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","EXPEDITION PLATINUM 4DR 4WD",2019,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","KICKS SR 4DR 2WD",2021,"Mission","Person","Lower Mainland",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","MERCEDES","C300 4MATIC CABRIOLET",2023,"Burnaby","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK SPORT 5DR AWD",2019,"Surrey","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","KIA","CARNIVAL LX+",2022,"West Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","TRANSIT 350 WB 148 XL WAGON AWD",2021,"Chemainus","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","KIA","RIO EX SPORT 5DR",2020,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","HONDA","CIVIC LX 4DR",2019,"Coquitlam","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE TRAILHAWK 4DR 4WD",2019,"New Westminster","Person","Lower Mainland",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","FORD","MUSTANG DARK HORSE 2DR",2024,"Kamloops","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","VOLKSWAGEN","ATLAS COMFORTLINE V6 4DR AWD",2021,"Mission","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","4RUNNER V6 4DR 4WD",2024,"Cobble Hill","Person","Vancouver Island",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","MITSUBISHI","MIRAGE ES 5DR",2022,"North Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","MAZDA","CX-5 SIGNATURE TURBO 4DR AWD",2021,"Vancouver","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Electric","Yes","TOYOTA","PRIUS AWD-E 5DR",2022,"Fort St John","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","TERRAIN SLE 2.0T 4DR AWD",2019,"Kelowna","Person","Southern Interior",1
"Personal","No","Fourdoorstationwagon","Yes","No","Electric","No","HYUNDAI","KONA ULTIMATE ELECTRIC 4DR 2WD",2023,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","SEQUOIA PLATINUM V8 4DR 4WD",2019,"Kersley","Person","North Central",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","VOLKSWAGEN","GTI AUTOBAHN 2.0 TSI 4DR HATCHBACK",2021,"Halfmoon Bay","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","BUICK","ENCLAVE 4DR AWD",2019,"Campbell River","Person","Vancouver Island",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","FORD","MUSTANG BULLITT 2DR",2020,"Coldwater","Person","Southern Interior",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","LAND","RANGE ROVER SPORT HST P400 4DR AWD",2020,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CADILLAC","XT5 PLATINUM V6 4DR AWD",2019,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SOUL EX+ 5DR",2021,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","VOLKSWAGEN","TAOS TRENDLINE 1.5 TSI 4DR AWD",2023,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","PORSCHE","718 CAYMAN GTS 2DR",2022,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Hatchback","Yes","No","Electric","No","NISSAN","LEAF SV 5DR",2023,"North Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","AUDI","Q5 KOMFORT 45 2.0 TFSI 4DR AWD",2022,"West Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SOUL EX+ 5DR",2023,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","VOLVO","XC90 RECHARGE ULTIMATE 4DR AWD",2024,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","COMPASS TRAILHAWK 4DR 4WD",2022,"Prince Rupert","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MITSUBISHI","RVR ES 4DR 4WD",2020,"Gitsegukla","Person","North Central",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","HONDA","CIVIC LX 4DR HATCHBACK",2019,"Saanich","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","CHEVROLET","BOLT LT 5DR",2021,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE S SPECIAL EDITION 4DR AWD",2020,"Fort St John","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","DODGE/RAM","GRAND CARAVAN SE",2019,"Powell River","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","KIA","NIRO EX PREMIUM HYBRID 5DR",2020,"North Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","ACURA","MDX PLATINUM ELITE 4DR AWD",2023,"Langley","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","FORD","BRONCO SPORT BADLANDS 4DR AWD",2022,"Creston","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","AUDI","Q7 PROGRESSIV 55 3.0 TFSI 4DR AWD",2023,"Abbotsford","Person","Lower Mainland",1
"Personal","No","Fourdoorsedan","No","No","Gasoline","No","LEXUS","IS 350 4DR AWD",2022,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasolineelectric","Yes","HYUNDAI","ELANTRA ULTIMATE HYBRID 4DR",2021,"Mission","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","OUTBACK OUTDOOR XT WAGON AWD",2021,"Black Creek","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHRYSLER","PACIFICA LIMITED AWD",2021,"Duncan","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","PRIUS 5DR",2022,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","PORSCHE","911 CARRERA GTS 2DR COUPE",2022,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Twodoorconvertible","No","No","Gasoline","No","BMW","M440I XDRIVE CABRIOLET AWD",2022,"West Vancouver","Person","Lower Mainland",1
"Personal","Yes","Twodoorstationwagon","No","No","Gasoline","No","HONDA","HR-V LX 4DR AWD",2021,"Terrace","Person","North Central",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","HYUNDAI","ELANTRA N-LINE ULTIMATE 4DR",2023,"Victoria","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CADILLAC","ESCALADE 4DR 4WD",2019,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","ACADIA DENALI V6 4DR AWD",2019,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","QASHQAI S 4DR AWD",2019,"Whitecroft","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","TOYOTA","RAV4 LE HEV 4DR AWD",2023,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","ASCENT TOURING 4DR AWD",2023,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","HYUNDAI","SONATA SPORT 1.6T 4DR",2022,"North Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","LAND","DISCOVERY SPORT HSE R-DYN P250 4DR AWD",2023,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","VOLVO","XC40 ULTIMATE B5 4DR AWD",2023,"Abbotsford","Person","Lower Mainland",1
"Personal","No","Fourdoorsedan","No","No","Gasoline","No","SUBARU","WRX SPORT 4DR AWD",2023,"Campbell River","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","BLAZER RS V6 4DR AWD",2023,"Maple Ridge","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","TRAVERSE PREMIER 4DR AWD",2022,"Prince George","Person","North Central",1
"Personal","Yes","Fourdoorsedan","Yes","No","Electric","No","GENESIS","G80 ELECTRIFIED 4DR AWD",2023,"Anmore","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","EQUINOX LT 2.0T 4DR AWD",2019,"Williams Lake","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","PILOT TOURING 4DR AWD",2020,"Shawnigan Lake","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","ECOSPORT SES 4DR 4WD",2020,"Nanoose Bay","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","RAV4 XLE 4DR AWD",2019,"Passmore","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","TRAVERSE LT 4DR AWD",2022,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","AUDI","S5 TECHNIK 3.0 TFSI QUATTRO 2DR",2023,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","HONDA","ACCORD TOURING 2.0 4DR",2022,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Dualpurpose","No","No","Gasoline","No","JEEP","WRANGLER SPORT 4WD",2021,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","ACURA","RDX 4DR AWD",2019,"Garden Bay","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","TERRAIN SLT 4DR AWD",2023,"Quesnel","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","FORTE LX 4DR",2021,"Castlegar","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 KURO 4DR AWD",2023,"Central Saanich","Person","Vancouver Island",1
